Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
8.93,Opened,2.501939,,Opened,2.528991,
8.9446,Opened,2.515225,,Opened,2.538847,
8.9589,Opened,2.535554,,Opened,2.54361,
8.9732,Opened,2.529694,,Opened,2.569816,
8.9877,Opened,2.528698,,Opened,2.554597,
9.0017,Opened,2.539075,,Opened,2.582355,
9.0164,Opened,2.543083,,Opened,2.588436,
9.0307,Opened,2.558908,,Opened,2.589764,
9.0452,Opened,2.549956,,Opened,2.588683,
9.0597,Opened,2.576394,,Opened,2.613662,
9.0746,Opened,2.544591,,Opened,2.564974,
9.0893,Opened,2.556434,,Opened,2.579645,
9.1038,Opened,2.580674,,Opened,2.606869,
9.1184,Opened,2.569646,,Opened,2.59116,
9.1327,Opened,2.591548,,Opened,2.638322,
9.1469,Opened,2.576957,,Opened,2.621519,
9.1612,Opened,2.584118,,Opened,2.619683,
9.1756,Opened,2.581306,,Opened,2.601612,
9.1901,Opened,2.582092,,Opened,2.608502,
9.2041,Opened,2.603121,,Opened,2.638517,
9.2181,Opened,2.597134,,Opened,2.627695,
9.2328,Opened,2.598714,,Opened,2.62369,
9.2474,Opened,2.599376,,Opened,2.647038,
9.2618,Opened,2.608331,,Opened,2.634078,
9.2763,Opened,2.617102,,Opened,2.654325,
9.2907,Opened,2.568047,,Opened,2.594191,
9.305,Opened,2.619129,,Opened,2.650246,
9.3192,Opened,2.601241,,Opened,2.603611,
9.3337,Opened,2.601644,,Opened,2.624152,
9.348,Opened,2.605203,,Opened,2.620715,
9.3627,Opened,2.613419,,Opened,2.652527,
9.3768,Opened,2.638954,,Opened,2.686354,
9.3912,Opened,2.591652,,Opened,2.620982,
9.4057,Opened,2.59866,,Opened,2.624434,
9.42,Opened,2.586096,,Opened,2.611204,
9.4346,Opened,2.595734,,Opened,2.614741,
9.4488,Opened,2.592015,,Opened,2.614743,
9.463,Opened,2.606686,,Opened,2.637616,
9.4776,Opened,2.583926,,Opened,2.613995,
9.4919,Opened,2.58479,,Opened,2.61531,
9.5064,Opened,2.579663,,Opened,2.596496,
9.5205,Opened,2.598391,,Opened,2.625376,
9.5349,Opened,2.580861,,Opened,2.622408,
9.5488,Opened,2.575024,,Opened,2.604956,
9.5633,Opened,2.575008,,Opened,2.600041,
9.5776,Opened,2.561112,,Opened,2.606789,
9.5918,Opened,2.582425,,Opened,2.607428,
9.606,Opened,2.570243,,Opened,2.579777,
9.6202,Opened,2.56673,,Opened,2.606039,
9.6342,Opened,2.556792,,Opened,2.569777,
9.6484,Opened,2.554472,,Opened,2.561205,
