Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
9.85,Opened,2.619965,,Opened,2.662332,
9.8644,Opened,2.634135,,Opened,2.661928,
9.8785,Opened,2.620932,,Opened,2.659453,
9.8928,Opened,2.64456,,Opened,2.688943,
9.9072,Opened,2.656124,,Opened,2.689474,
9.9216,Opened,2.645401,,Opened,2.669767,
9.9357,Opened,2.652635,,Opened,2.678963,
9.95,Opened,2.648334,,Opened,2.693041,
9.9641,Opened,2.67987,,Opened,2.717449,
9.9784,Opened,2.657591,,Opened,2.685717,
9.9926,Opened,2.659109,,Opened,2.690372,
10.0072,Opened,2.642309,,Opened,2.655959,
10.0218,Opened,2.624215,,Opened,2.641963,
10.0361,Opened,2.632099,,Opened,2.677418,
10.0503,Opened,2.644076,,Opened,2.667017,
10.0646,Opened,2.641977,,Opened,2.666889,
10.0789,Opened,2.651816,,Opened,2.675878,
10.0931,Opened,2.668731,,Opened,2.697498,
10.1072,Opened,2.654945,,Opened,2.688104,
10.1217,Opened,2.668617,,Opened,2.68959,
10.136,Opened,2.645456,,Opened,2.669358,
10.1502,Opened,2.655216,,Opened,2.684573,
10.1644,Opened,2.641026,,Opened,2.665612,
10.1786,Opened,2.62479,,Opened,2.649861,
10.1927,Opened,2.632057,,Opened,2.663602,
10.2073,Opened,2.633979,,Opened,2.639888,
10.2216,Opened,2.611107,,Opened,2.649911,
10.2361,Opened,2.629103,,Opened,2.665603,
10.2503,Opened,2.632068,,Opened,2.661205,
10.2645,Opened,2.615217,,Opened,2.644006,
10.279,Opened,2.615544,,Opened,2.655474,
10.2928,Opened,2.616484,,Opened,2.656499,
10.3067,Opened,2.616947,,Opened,2.647304,
10.3209,Opened,2.620084,,Opened,2.643325,
10.3354,Opened,2.614721,,Opened,2.626804,
10.3502,Opened,2.596144,,Opened,2.626834,
10.3641,Opened,2.609665,,Opened,2.637133,
10.3787,Opened,2.569039,,Opened,2.595618,
10.393,Opened,2.579815,,Opened,2.607924,
10.4073,Opened,2.590343,,Opened,2.605344,
10.4215,Opened,2.583732,,Opened,2.601493,
10.4354,Opened,2.579645,,Opened,2.605175,
10.4503,Opened,2.583403,,Opened,2.616535,
10.4647,Opened,2.594258,,Opened,2.622422,
10.4792,Opened,2.578745,,Opened,2.608095,
10.4934,Opened,2.533224,,Opened,2.572172,
10.5076,Opened,2.53633,,Opened,2.559683,
10.5217,Opened,2.536961,,Opened,2.564446,
10.5358,Opened,2.535301,,Opened,2.572866,
10.5501,Opened,2.545318,,Opened,2.575117,
10.564,Opened,2.570847,,Opened,2.605227,
10.5783,Opened,2.542977,,Opened,2.574758,
10.5926,Opened,2.539813,,Opened,2.566448,
10.6068,Opened,2.517494,,Opened,2.556894,
10.621,Opened,2.522639,,Opened,2.565421,
10.6353,Opened,2.539591,,Opened,2.569142,
10.6495,Opened,2.529106,,Opened,2.561846,
