Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
12.86,Opened,2.692623,,Opened,2.721558,
12.8744,Opened,2.693711,,Opened,2.725905,
12.889,Opened,2.687333,,Opened,2.723491,
12.9033,Opened,2.691978,,Opened,2.708497,
12.9175,Opened,2.715368,,Opened,2.741089,
12.9317,Opened,2.71833,,Opened,2.736798,
12.946,Opened,2.704207,,Opened,2.740707,
12.9601,Opened,2.696775,,Opened,2.706855,
12.9748,Opened,2.705321,,Opened,2.741326,
12.9891,Opened,2.692812,,Opened,2.715095,
13.0036,Opened,2.684113,,Opened,2.721195,
13.0181,Opened,2.72264,,Opened,2.769719,
13.0325,Opened,2.70741,,Opened,2.732842,
13.0468,Opened,2.723056,,Opened,2.753466,
13.0611,Opened,2.717244,,Opened,2.732953,
13.0756,Opened,2.730164,,Opened,2.760405,
13.0899,Opened,2.718136,,Opened,2.748527,
13.1041,Opened,2.729423,,Opened,2.766567,
13.1187,Opened,2.729895,,Opened,2.752136,
13.1334,Opened,2.735765,,Opened,2.753091,
13.1475,Opened,2.733477,,Opened,2.786673,
13.1618,Opened,2.744527,,Opened,2.786577,
13.1761,Opened,2.719501,,Opened,2.755809,
13.1903,Opened,2.730475,,Opened,2.757822,
13.2046,Opened,2.716472,,Opened,2.734375,
13.2191,Opened,2.709886,,Opened,2.7351,
13.2334,Opened,2.732424,,Opened,2.753391,
13.2479,Opened,2.726116,,Opened,2.751091,
13.2625,Opened,2.703088,,Opened,2.729328,
13.2766,Opened,2.685105,,Opened,2.731149,
13.2908,Opened,2.721096,,Opened,2.741991,
13.3051,Opened,2.68404,,Opened,2.731036,
13.3194,Opened,2.698423,,Opened,2.733054,
13.3336,Opened,2.700731,,Opened,2.7304,
13.3479,Opened,2.689266,,Opened,2.731609,
13.3618,Opened,2.677259,,Opened,2.699112,
13.3762,Opened,2.702342,,Opened,2.717881,
13.3906,Opened,2.695221,,Opened,2.734792,
13.4049,Opened,2.689205,,Opened,2.708112,
13.4192,Opened,2.658757,,Opened,2.682962,
13.4334,Opened,2.685248,,Opened,2.698714,
13.4481,Opened,2.688437,,Opened,2.708102,
13.4624,Opened,2.647225,,Opened,2.672592,
13.4763,Opened,2.657516,,Opened,2.712895,
13.4908,Opened,2.646358,,Opened,2.6597,
13.505,Opened,2.647639,,Opened,2.677057,
13.5195,Opened,2.657858,,Opened,2.691736,
13.5338,Opened,2.647388,,Opened,2.681606,
13.548,Opened,2.641017,,Opened,2.683253,
13.5625,Opened,2.628451,,Opened,2.671685,
13.5764,Opened,2.59394,,Opened,2.621043,
13.5905,Opened,2.609937,,Opened,2.657944,
13.6048,Opened,2.608298,,Opened,2.630357,
13.6192,Opened,2.61163,,Opened,2.631373,
13.6339,Opened,2.585077,,Opened,2.611729,
13.6483,Opened,2.58649,,Opened,2.611429,
13.6624,Opened,2.586798,,Opened,2.618846,
13.6766,Opened,2.580136,,Opened,2.626659,
13.6908,Opened,2.59454,,Opened,2.625104,
13.7051,Opened,2.559003,,Opened,2.570646,
13.7195,Opened,2.564417,,Opened,2.585126,
13.7338,Opened,2.552694,,Opened,2.585976,
13.7483,Opened,2.544522,,Opened,2.599555,
13.763,Opened,2.528547,,Opened,2.554787,
13.7773,Opened,2.557723,,Opened,2.582381,
13.7918,Opened,2.548054,,Opened,2.565889,
13.8058,Opened,2.541476,,Opened,2.578275,
13.82,Opened,2.506041,,Opened,2.532892,
13.8342,Opened,2.525857,,Opened,2.55728,
13.8479,Opened,2.516439,,Opened,2.5417,
13.8619,Opened,2.526011,,Opened,2.576875,
13.8765,Opened,2.505876,,Opened,2.541562,
13.8909,Opened,2.513213,,Opened,2.532757,
13.9053,Opened,2.49777,,Opened,2.531928,
13.9196,Opened,2.487088,,Opened,2.492637,
13.9341,Opened,2.48046,,Opened,2.500473,
13.9485,Opened,2.495152,,Opened,2.517542,
13.963,Opened,2.475224,,Opened,2.509154,
13.9776,Opened,2.481884,,Opened,2.525396,
13.9921,Opened,2.489453,,Opened,2.522125,
14.0067,Opened,2.458571,,Opened,2.499411,
14.0211,Opened,2.489368,,Opened,2.492743,
14.035,Opened,2.455758,,Opened,2.47413,
14.0492,Opened,2.45829,,Opened,2.501229,
14.0634,Opened,2.434022,,Opened,2.464056,
14.0777,Opened,2.458098,,Opened,2.482588,
14.0922,Opened,2.452321,,Opened,2.475203,
14.1061,Opened,2.456391,,Opened,2.473586,
14.1204,Opened,2.454816,,Opened,2.479522,
14.1349,Opened,2.443595,,Opened,2.483392,
14.1488,Opened,2.443207,,Opened,2.474462,
14.1631,Opened,2.452344,,Opened,2.492661,
14.1775,Opened,2.461378,,Opened,2.504334,
14.1919,Opened,2.464076,,Opened,2.50714,
14.2064,Opened,2.443085,,Opened,2.478966,
14.2208,Opened,2.448785,,Opened,2.479645,
14.2349,Opened,2.453427,,Opened,2.48994,
14.2492,Opened,2.470154,,Opened,2.515811,
14.2633,Opened,2.435887,,Opened,2.459448,
14.2778,Opened,2.494694,,Opened,2.524238,
14.292,Opened,2.447782,,Opened,2.483449,
14.306,Opened,2.498085,,Opened,2.534213,
14.3204,Opened,2.460209,,Opened,2.49746,
14.3348,Opened,2.477103,,Opened,2.510018,
14.3493,Opened,2.460864,,Opened,2.5022,
14.3639,Opened,2.491269,,Opened,2.518703,
14.3784,Opened,2.477383,,Opened,2.484523,
14.3926,Opened,2.5051,,Opened,2.548807,
14.4066,Opened,2.494803,,Opened,2.512204,
14.4206,Opened,2.491696,,Opened,2.519572,
14.4345,Opened,2.509582,,Opened,2.553085,
14.4488,Opened,2.514744,,Opened,2.547041,
14.4632,Opened,2.506581,,Opened,2.547569,
14.4772,Opened,2.505449,,Opened,2.534974,
