Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
9.62,Opened,2.621963,,Opened,2.651261,
9.6343,Opened,2.623054,,Opened,2.656978,
9.6487,Opened,2.636618,,Opened,2.669916,
9.6629,Opened,2.615356,,Opened,2.663854,
9.6773,Opened,2.624325,,Opened,2.659222,
9.6918,Opened,2.613941,,Opened,2.657849,
9.7063,Opened,2.623834,,Opened,2.642644,
9.7212,Opened,2.637846,,Opened,2.652237,
9.7349,Opened,2.645286,,Opened,2.669399,
9.7493,Opened,2.632002,,Opened,2.658955,
9.7634,Opened,2.640328,,Opened,2.671812,
9.7781,Opened,2.636159,,Opened,2.672298,
9.7921,Opened,2.650593,,Opened,2.683663,
9.8065,Opened,2.627443,,Opened,2.662038,
9.8211,Opened,2.635056,,Opened,2.64517,
9.8351,Opened,2.635755,,Opened,2.652732,
9.849,Opened,2.625997,,Opened,2.646661,
9.8633,Opened,2.62104,,Opened,2.636222,
9.8779,Opened,2.622346,,Opened,2.659199,
9.8918,Opened,2.623789,,Opened,2.656575,
9.9059,Opened,2.621934,,Opened,2.644783,
9.9204,Opened,2.616378,,Opened,2.6608,
9.9344,Opened,2.632052,,Opened,2.644702,
9.9486,Opened,2.628123,,Opened,2.655385,
9.963,Opened,2.645527,,Opened,2.673974,
9.977,Opened,2.624725,,Opened,2.658501,
9.9915,Opened,2.6194,,Opened,2.634099,
10.0056,Opened,2.614814,,Opened,2.638594,
10.0197,Opened,2.592741,,Opened,2.610203,
10.0341,Opened,2.60823,,Opened,2.647301,
10.0485,Opened,2.607612,,Opened,2.622128,
10.0628,Opened,2.619654,,Opened,2.635767,
10.0769,Opened,2.595523,,Opened,2.637153,
10.0911,Opened,2.569172,,Opened,2.596069,
10.1055,Opened,2.587439,,Opened,2.615787,
10.1201,Opened,2.577857,,Opened,2.596524,
10.1348,Opened,2.578711,,Opened,2.605071,
10.1491,Opened,2.576472,,Opened,2.614802,
10.1634,Opened,2.565913,,Opened,2.590792,
10.1774,Opened,2.573125,,Opened,2.594836,
10.1917,Opened,2.553453,,Opened,2.569968,
10.2058,Opened,2.549277,,Opened,2.584409,
10.2199,Opened,2.570117,,Opened,2.600438,
10.234,Opened,2.540807,,Opened,2.577003,
10.2482,Opened,2.523096,,Opened,2.561828,
10.2623,Opened,2.53629,,Opened,2.574029,
10.2768,Opened,2.549976,,Opened,2.580893,
10.2912,Opened,2.535526,,Opened,2.558998,
10.3059,Opened,2.528543,,Opened,2.549611,
10.32,Opened,2.508826,,Opened,2.51814,
10.3344,Opened,2.523746,,Opened,2.552227,
10.3489,Opened,2.515589,,Opened,2.532023,
10.3633,Opened,2.502714,,Opened,2.543237,
10.3775,Opened,2.493983,,Opened,2.520904,
10.3917,Opened,2.47102,,Opened,2.509041,
10.406,Opened,2.476701,,Opened,2.494997,
10.4203,Opened,2.49932,,Opened,2.533724,
10.4347,Opened,2.492944,,Opened,2.536965,
10.4487,Opened,2.464851,,Opened,2.48138,
10.4631,Opened,2.469794,,Opened,2.500076,
10.4773,Opened,2.478722,,Opened,2.516478,
10.4919,Opened,2.463052,,Opened,2.499302,
10.506,Opened,2.446295,,Opened,2.468034,
10.5201,Opened,2.465491,,Opened,2.502981,
10.5345,Opened,2.439874,,Opened,2.474566,
10.5488,Opened,2.440758,,Opened,2.45659,
10.5632,Opened,2.4546,,Opened,2.465459,
10.5777,Opened,2.428823,,Opened,2.455749,
10.5924,Opened,2.439621,,Opened,2.476936,
10.6069,Opened,2.424401,,Opened,2.45715,
10.6216,Opened,2.437379,,Opened,2.466198,
10.6361,Opened,2.415971,,Opened,2.449383,
10.6506,Opened,2.407054,,Opened,2.458804,
10.6648,Opened,2.433055,,Opened,2.453026,
10.6789,Opened,2.42256,,Opened,2.44401,
10.693,Opened,2.436884,,Opened,2.466447,
10.7077,Opened,2.419525,,Opened,2.446642,
10.722,Opened,2.420062,,Opened,2.450088,
10.7364,Opened,2.429026,,Opened,2.48791,
10.7504,Opened,2.411822,,Opened,2.438445,
10.7648,Opened,2.42141,,Opened,2.44325,
10.7792,Opened,2.416938,,Opened,2.449805,
10.7936,Opened,2.407193,,Opened,2.455661,
10.8077,Opened,2.426513,,Opened,2.447577,
10.8221,Opened,2.40672,,Opened,2.445679,
10.8363,Opened,2.421646,,Opened,2.461039,
10.8505,Opened,2.416224,,Opened,2.448343,
10.8648,Opened,2.437127,,Opened,2.476193,
10.8792,Opened,2.416626,,Opened,2.444593,
10.8931,Opened,2.435944,,Opened,2.445042,
10.9076,Opened,2.414653,,Opened,2.447912,
10.9221,Opened,2.432816,,Opened,2.466723,
10.9362,Opened,2.414993,,Opened,2.44132,
10.9506,Opened,2.460023,,Opened,2.476426,
10.9645,Opened,2.44188,,Opened,2.463535,
10.9788,Opened,2.441536,,Opened,2.487407,
10.9932,Opened,2.444491,,Opened,2.473606,
11.0074,Opened,2.440416,,Opened,2.499892,
11.0217,Opened,2.448272,,Opened,2.474038,
11.036,Opened,2.446436,,Opened,2.456714,
11.0501,Opened,2.47098,,Opened,2.50618,
11.0647,Opened,2.454639,,Opened,2.479083,
11.0789,Opened,2.456494,,Opened,2.495617,
11.0931,Opened,2.501209,,Opened,2.537239,
11.1075,Opened,2.459971,,Opened,2.495287,
11.1218,Opened,2.4975,,Opened,2.531929,
11.136,Opened,2.497004,,Opened,2.531069,
11.1507,Opened,2.482843,,Opened,2.498255,
11.1651,Opened,2.503598,,Opened,2.549511,
11.1792,Opened,2.522617,,Opened,2.552792,
11.1933,Opened,2.518544,,Opened,2.558759,
11.2071,Opened,2.516217,,Opened,2.549665,
11.2216,Opened,2.533575,,Opened,2.572041,
11.2359,Opened,2.513004,,Opened,2.544903,
11.2502,Opened,2.522481,,Opened,2.557773,
11.2642,Opened,2.545431,,Opened,2.581104,
11.2784,Opened,2.550446,,Opened,2.571023,
11.2929,Opened,2.545277,,Opened,2.579572,
11.3071,Opened,2.563642,,Opened,2.565249,
11.3213,Opened,2.563439,,Opened,2.595723,
11.3358,Opened,2.577757,,Opened,2.613984,
11.3503,Opened,2.567528,,Opened,2.601563,
11.3646,Opened,2.558316,,Opened,2.601841,
11.3789,Opened,2.597285,,Opened,2.608727,
11.393,Opened,2.603608,,Opened,2.623566,
11.4071,Opened,2.59364,,Opened,2.626985,
11.4213,Opened,2.598478,,Opened,2.655338,
11.4355,Opened,2.597954,,Opened,2.63595,
11.4498,Opened,2.608998,,Opened,2.643377,
11.464,Opened,2.613573,,Opened,2.653829,
11.4779,Opened,2.631893,,Opened,2.668983,
11.4919,Opened,2.632973,,Opened,2.657632,
11.5062,Opened,2.649723,,Opened,2.682219,
11.5205,Opened,2.670702,,Opened,2.67946,
11.535,Opened,2.644018,,Opened,2.670282,
11.5493,Opened,2.641423,,Opened,2.673652,
11.5638,Opened,2.656235,,Opened,2.679501,
11.5776,Opened,2.677048,,Opened,2.713208,
11.5918,Opened,2.66571,,Opened,2.697501,
11.6063,Opened,2.698375,,Opened,2.746318,
11.6207,Opened,2.683486,,Opened,2.720426,
11.6351,Opened,2.684643,,Opened,2.718163,
11.6495,Opened,2.694089,,Opened,2.728631,
11.6637,Opened,2.688333,,Opened,2.730919,
11.6783,Opened,2.683674,,Opened,2.718937,
11.6923,Opened,2.690008,,Opened,2.724095,
11.7067,Opened,2.698985,,Opened,2.723008,
11.7205,Opened,2.705152,,Opened,2.732614,
11.7344,Opened,2.704793,,Opened,2.720465,
11.7487,Opened,2.705344,,Opened,2.732998,
11.7628,Opened,2.71655,,Opened,2.736362,
11.7776,Opened,2.708559,,Opened,2.727454,
11.7916,Opened,2.722879,,Opened,2.751396,
11.806,Opened,2.715478,,Opened,2.731372,
