Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
13.55,Opened,2.727707,,Opened,2.740391,
13.5641,Opened,2.750962,,Opened,2.799174,
13.5783,Opened,2.746362,,Opened,2.792209,
13.5925,Opened,2.711989,,Opened,2.745822,
13.6066,Opened,2.743973,,Opened,2.761434,
13.6209,Opened,2.730779,,Opened,2.753706,
13.6352,Opened,2.729428,,Opened,2.762722,
13.6498,Opened,2.739302,,Opened,2.762764,
13.664,Opened,2.734562,,Opened,2.756178,
13.6782,Opened,2.728288,,Opened,2.771252,
13.6926,Opened,2.750805,,Opened,2.796361,
13.707,Opened,2.75462,,Opened,2.770879,
13.7213,Opened,2.720175,,Opened,2.748857,
13.7358,Opened,2.727127,,Opened,2.749658,
13.7499,Opened,2.735604,,Opened,2.772118,
13.764,Opened,2.730713,,Opened,2.775531,
13.7786,Opened,2.718444,,Opened,2.749259,
13.7932,Opened,2.715104,,Opened,2.748921,
13.8074,Opened,2.741228,,Opened,2.792683,
13.8218,Opened,2.729435,,Opened,2.773778,
13.8362,Opened,2.724886,,Opened,2.753255,
13.8502,Opened,2.711017,,Opened,2.746066,
13.8647,Opened,2.734847,,Opened,2.748615,
13.8791,Opened,2.698389,,Opened,2.734095,
13.8936,Opened,2.713477,,Opened,2.741191,
13.908,Opened,2.726229,,Opened,2.764224,
13.9226,Opened,2.719742,,Opened,2.742511,
13.9365,Opened,2.699194,,Opened,2.738369,
13.9508,Opened,2.702989,,Opened,2.714229,
13.965,Opened,2.688744,,Opened,2.727124,
13.9792,Opened,2.690393,,Opened,2.724221,
13.9934,Opened,2.697913,,Opened,2.708326,
14.0077,Opened,2.70113,,Opened,2.712326,
14.0221,Opened,2.69159,,Opened,2.717906,
14.0361,Opened,2.67606,,Opened,2.69673,
14.0502,Opened,2.684531,,Opened,2.727823,
14.0644,Opened,2.676518,,Opened,2.704399,
14.0785,Opened,2.664554,,Opened,2.68938,
14.0926,Opened,2.66815,,Opened,2.678365,
14.1069,Opened,2.664584,,Opened,2.677703,
14.1211,Opened,2.649521,,Opened,2.687141,
14.1357,Opened,2.643514,,Opened,2.680753,
14.15,Opened,2.666945,,Opened,2.698053,
14.1644,Opened,2.644243,,Opened,2.673259,
14.1786,Opened,2.643242,,Opened,2.686681,
14.1925,Opened,2.646558,,Opened,2.666297,
14.2066,Opened,2.635784,,Opened,2.664422,
14.2212,Opened,2.634771,,Opened,2.654827,
14.2353,Opened,2.632966,,Opened,2.656067,
14.2497,Opened,2.603343,,Opened,2.622312,
14.2639,Opened,2.595073,,Opened,2.623823,
14.278,Opened,2.627045,,Opened,2.644075,
14.2924,Opened,2.620755,,Opened,2.640415,
14.3064,Opened,2.612269,,Opened,2.642245,
14.3208,Opened,2.598226,,Opened,2.635842,
14.3347,Opened,2.596314,,Opened,2.620935,
14.3494,Opened,2.582348,,Opened,2.627821,
14.364,Opened,2.59039,,Opened,2.620385,
14.3784,Opened,2.585458,,Opened,2.604776,
14.3924,Opened,2.571537,,Opened,2.589724,
14.4067,Opened,2.585062,,Opened,2.619111,
14.4209,Opened,2.592047,,Opened,2.61411,
14.4352,Opened,2.580958,,Opened,2.614153,
14.4497,Opened,2.583028,,Opened,2.612011,
14.4639,Opened,2.592561,,Opened,2.626697,
14.4782,Opened,2.576125,,Opened,2.627807,
14.4924,Opened,2.569383,,Opened,2.588082,
14.5069,Opened,2.560698,,Opened,2.575988,
14.5217,Opened,2.550481,,Opened,2.576775,
14.5361,Opened,2.548954,,Opened,2.574269,
14.5506,Opened,2.570078,,Opened,2.601571,
14.5648,Opened,2.559564,,Opened,2.57631,
14.5791,Opened,2.555716,,Opened,2.569796,
14.5934,Opened,2.566647,,Opened,2.597471,
14.6077,Opened,2.558172,,Opened,2.597529,
14.6219,Opened,2.558223,,Opened,2.562443,
14.6362,Opened,2.579718,,Opened,2.613795,
14.6509,Opened,2.578687,,Opened,2.604723,
14.6652,Opened,2.571826,,Opened,2.60309,
14.6796,Opened,2.570312,,Opened,2.6128,
14.6939,Opened,2.568321,,Opened,2.625473,
14.7085,Opened,2.574083,,Opened,2.59401,
14.7226,Opened,2.58241,,Opened,2.596499,
14.7371,Opened,2.567669,,Opened,2.605969,
14.7512,Opened,2.598064,,Opened,2.630197,
14.7661,Opened,2.589085,,Opened,2.611913,
14.7802,Opened,2.570642,,Opened,2.602991,
14.7943,Opened,2.58985,,Opened,2.616108,
14.8086,Opened,2.590187,,Opened,2.620221,
14.8228,Opened,2.602798,,Opened,2.636172,
14.837,Opened,2.586034,,Opened,2.619531,
14.851,Opened,2.60441,,Opened,2.633369,
14.8648,Opened,2.619865,,Opened,2.652597,
14.8791,Opened,2.612643,,Opened,2.646723,
14.8933,Opened,2.606654,,Opened,2.641261,
14.9072,Opened,2.62515,,Opened,2.630927,
14.9217,Opened,2.598867,,Opened,2.630892,
14.936,Opened,2.63369,,Opened,2.677769,
14.9505,Opened,2.629383,,Opened,2.656694,
14.9647,Opened,2.649462,,Opened,2.66777,
14.9788,Opened,2.656333,,Opened,2.695713,
14.9932,Opened,2.664537,,Opened,2.69625,
15.0074,Opened,2.659121,,Opened,2.710393,
15.0216,Opened,2.683239,,Opened,2.719295,
15.0359,Opened,2.676124,,Opened,2.701843,
15.0502,Opened,2.678875,,Opened,2.711207,
15.0644,Opened,2.67198,,Opened,2.684117,
15.0787,Opened,2.679718,,Opened,2.701478,
15.0933,Opened,2.696012,,Opened,2.73943,
15.1077,Opened,2.707417,,Opened,2.745796,
15.1221,Opened,2.688302,,Opened,2.716877,
15.1364,Opened,2.701482,,Opened,2.731584,
15.1504,Opened,2.741388,,Opened,2.758078,
15.1646,Opened,2.726508,,Opened,2.750093,
15.1788,Opened,2.718596,,Opened,2.751664,
15.1927,Opened,2.72158,,Opened,2.745127,
15.2073,Opened,2.741723,,Opened,2.780774,
15.2212,Opened,2.742158,,Opened,2.776854,
15.2359,Opened,2.770138,,Opened,2.813502,
15.2505,Opened,2.764645,,Opened,2.790792,
15.2651,Opened,2.791288,,Opened,2.826673,
15.2793,Opened,2.772698,,Opened,2.804819,
15.2936,Opened,2.773883,,Opened,2.793872,
15.3081,Opened,2.759757,,Opened,2.805199,
15.3225,Opened,2.783584,,Opened,2.826215,
15.3367,Opened,2.795393,,Opened,2.822446,
15.3512,Opened,2.80331,,Opened,2.859259,
15.3657,Opened,2.786704,,Opened,2.826691,
15.3798,Opened,2.805669,,Opened,2.833304,
15.394,Opened,2.802935,,Opened,2.847712,
15.4087,Opened,2.816013,,Opened,2.85757,
15.4231,Opened,2.791872,,Opened,2.837179,
15.4377,Opened,2.788835,,Opened,2.814449,
15.4523,Opened,2.815871,,Opened,2.841756,
15.4665,Opened,2.833026,,Opened,2.878206,
15.4808,Opened,2.834556,,Opened,2.857077,
15.4952,Opened,2.805053,,Opened,2.84393,
15.5097,Opened,2.836442,,Opened,2.860875,
15.5241,Opened,2.814853,,Opened,2.836769,
15.5382,Opened,2.841851,,Opened,2.866285,
15.5524,Opened,2.839047,,Opened,2.865279,
15.5663,Opened,2.841864,,Opened,2.860244,
15.5807,Opened,2.828318,,Opened,2.860021,
15.5948,Opened,2.833071,,Opened,2.857678,
15.609,Opened,2.827612,,Opened,2.858285,
15.6234,Opened,2.830615,,Opened,2.849957,
15.6377,Opened,2.814946,,Opened,2.824902,
15.6519,Opened,2.832803,,Opened,2.875245,
15.6663,Opened,2.839767,,Opened,2.854204,
15.6807,Opened,2.830216,,Opened,2.866401,
15.6948,Opened,2.819205,,Opened,2.848069,
15.7094,Opened,2.834422,,Opened,2.87861,
15.7234,Opened,2.834358,,Opened,2.85081,
15.738,Opened,2.836423,,Opened,2.852083,
15.7519,Opened,2.829745,,Opened,2.869341,
15.7665,Opened,2.820274,,Opened,2.844983,
15.7806,Opened,2.817937,,Opened,2.84433,
15.7949,Opened,2.805603,,Opened,2.858498,
15.8093,Opened,2.823103,,Opened,2.861354,
15.8233,Opened,2.81316,,Opened,2.860683,
15.8375,Opened,2.780805,,Opened,2.813956,
15.852,Opened,2.784331,,Opened,2.805874,
15.8661,Opened,2.793484,,Opened,2.827066,
15.8802,Opened,2.773783,,Opened,2.806478,
15.8947,Opened,2.791347,,Opened,2.827211,
15.909,Opened,2.78952,,Opened,2.830877,
15.9236,Opened,2.76864,,Opened,2.808816,
15.938,Opened,2.750722,,Opened,2.782067,
15.9524,Opened,2.76158,,Opened,2.782479,
15.9669,Opened,2.752832,,Opened,2.778234,
15.9813,Opened,2.740365,,Opened,2.774836,
15.9956,Opened,2.753421,,Opened,2.778512,
16.0098,Opened,2.733148,,Opened,2.770887,
16.024,Opened,2.748702,,Opened,2.803284,
16.0384,Opened,2.730635,,Opened,2.767459,
16.0528,Opened,2.737003,,Opened,2.769899,
16.067,Opened,2.706871,,Opened,2.735211,
16.0814,Opened,2.71565,,Opened,2.752626,
16.0959,Opened,2.691082,,Opened,2.725799,
16.1101,Opened,2.701391,,Opened,2.724541,
16.1243,Opened,2.710832,,Opened,2.75504,
16.1388,Opened,2.692695,,Opened,2.726052,
16.153,Opened,2.694766,,Opened,2.736764,
16.1675,Opened,2.70304,,Opened,2.739346,
16.1817,Opened,2.657093,,Opened,2.675562,
16.1962,Opened,2.66304,,Opened,2.703859,
16.2104,Opened,2.664832,,Opened,2.696714,
16.2248,Opened,2.655238,,Opened,2.680423,
16.2391,Opened,2.640477,,Opened,2.691379,
16.253,Opened,2.636743,,Opened,2.659974,
16.2676,Opened,2.627477,,Opened,2.665141,
16.2821,Opened,2.624091,,Opened,2.650076,
16.2964,Opened,2.616136,,Opened,2.658328,
16.3108,Opened,2.614615,,Opened,2.638614,
16.3246,Opened,2.611311,,Opened,2.650648,
16.3392,Opened,2.625433,,Opened,2.641656,
16.3535,Opened,2.600386,,Opened,2.616481,
16.3679,Opened,2.594153,,Opened,2.61115,
16.3822,Opened,2.592639,,Opened,2.610994,
16.3966,Opened,2.603859,,Opened,2.640121,
16.411,Opened,2.562575,,Opened,2.586758,
16.4249,Opened,2.559661,,Opened,2.593072,
16.4392,Opened,2.584431,,Opened,2.612526,
16.4536,Opened,2.560671,,Opened,2.587271,
16.4674,Opened,2.545944,,Opened,2.583009,
16.4818,Opened,2.551982,,Opened,2.600612,
16.4961,Opened,2.569392,,Opened,2.607149,
16.5109,Opened,2.537298,,Opened,2.557292,
16.5253,Opened,2.522031,,Opened,2.550422,
16.5401,Opened,2.538114,,Opened,2.56808,
16.5546,Opened,2.548099,,Opened,2.58961,
16.5691,Opened,2.514204,,Opened,2.520604,
16.5834,Opened,2.537121,,Opened,2.562302,
16.598,Opened,2.505517,,Opened,2.537079,
16.6123,Opened,2.531315,,Opened,2.562231,
16.6265,Opened,2.550756,,Opened,2.568622,
16.6406,Opened,2.520645,,Opened,2.548313,
16.6545,Opened,2.527535,,Opened,2.560208,
16.6688,Opened,2.534416,,Opened,2.580086,
16.6833,Opened,2.537676,,Opened,2.567186,
16.6975,Opened,2.538091,,Opened,2.58813,
16.7116,Opened,2.544801,,Opened,2.575548,
16.7261,Opened,2.542505,,Opened,2.568425,
16.7403,Opened,2.530872,,Opened,2.563194,
16.7549,Opened,2.511907,,Opened,2.546711,
16.7692,Opened,2.550204,,Opened,2.589635,
16.7837,Opened,2.535145,,Opened,2.557147,
16.7981,Opened,2.526984,,Opened,2.570115,
16.8123,Opened,2.528386,,Opened,2.547778,
16.8263,Opened,2.547785,,Opened,2.585813,
16.8409,Opened,2.550657,,Opened,2.577602,
16.8556,Opened,2.546448,,Opened,2.572382,
16.8702,Opened,2.555455,,Opened,2.5917,
16.8842,Opened,2.533456,,Opened,2.581464,
16.8986,Opened,2.550536,,Opened,2.565903,
16.9129,Opened,2.550952,,Opened,2.577551,
16.9272,Opened,2.539374,,Opened,2.569602,
16.9417,Opened,2.560129,,Opened,2.588569,
16.9558,Opened,2.575563,,Opened,2.601046,
16.9701,Opened,2.567128,,Opened,2.577819,
16.9843,Opened,2.552864,,Opened,2.573535,
16.9988,Opened,2.593661,,Opened,2.637482,
17.0131,Opened,2.577155,,Opened,2.602064,
17.0273,Opened,2.597356,,Opened,2.608197,
17.0419,Opened,2.572314,,Opened,2.582782,
17.056,Opened,2.583327,,Opened,2.621455,
17.0705,Opened,2.608664,,Opened,2.63261,
17.0845,Opened,2.599004,,Opened,2.626505,
17.0993,Opened,2.606046,,Opened,2.64628,
17.1136,Opened,2.632111,,Opened,2.66039,
17.1279,Opened,2.615923,,Opened,2.653526,
17.1421,Opened,2.650487,,Opened,2.669148,
17.1563,Opened,2.615821,,Opened,2.634203,
17.1704,Opened,2.628752,,Opened,2.651023,
17.1842,Opened,2.642843,,Opened,2.672253,
17.1989,Opened,2.61906,,Opened,2.641975,
17.213,Opened,2.640191,,Opened,2.670017,
17.2271,Opened,2.675896,,Opened,2.708153,
17.2415,Opened,2.66936,,Opened,2.694671,
17.2557,Opened,2.66893,,Opened,2.701385,
17.2698,Opened,2.651939,,Opened,2.681439,
17.2841,Opened,2.677106,,Opened,2.701409,
17.2983,Opened,2.658468,,Opened,2.708002,
17.313,Opened,2.688248,,Opened,2.721056,
17.3274,Opened,2.681257,,Opened,2.702512,
17.3416,Opened,2.689422,,Opened,2.701064,
17.356,Opened,2.666986,,Opened,2.70514,
17.37,Opened,2.695351,,Opened,2.742077,
17.3845,Opened,2.701047,,Opened,2.740567,
17.3989,Opened,2.711314,,Opened,2.750099,
17.4133,Opened,2.717527,,Opened,2.75179,
17.4272,Opened,2.701868,,Opened,2.733703,
17.4416,Opened,2.718895,,Opened,2.73902,
17.4558,Opened,2.718478,,Opened,2.75861,
17.4705,Opened,2.727242,,Opened,2.762286,
17.4847,Opened,2.720907,,Opened,2.746909,
17.4991,Opened,2.722627,,Opened,2.741633,
17.5139,Opened,2.733351,,Opened,2.783258,
17.528,Opened,2.730942,,Opened,2.744414,
17.5419,Opened,2.754057,,Opened,2.806721,
17.5565,Opened,2.740402,,Opened,2.776589,
17.5709,Opened,2.762759,,Opened,2.768673,
17.5854,Opened,2.718239,,Opened,2.733572,
17.6,Opened,2.761119,,Opened,2.776425,
17.614,Opened,2.756297,,Opened,2.793738,
17.6285,Opened,2.747392,,Opened,2.780776,
17.643,Opened,2.743932,,Opened,2.770709,
17.6571,Opened,2.743941,,Opened,2.778365,
17.6712,Opened,2.755707,,Opened,2.786441,
17.6858,Opened,2.756466,,Opened,2.784336,
17.6999,Opened,2.729041,,Opened,2.753293,
17.7141,Opened,2.75757,,Opened,2.758261,
17.7282,Opened,2.752221,,Opened,2.781718,
17.7421,Opened,2.751645,,Opened,2.782638,
