Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
20.93,Opened,2.523417,,Opened,2.552805,
20.9439,Opened,2.550318,,Opened,2.56839,
20.9588,Opened,2.531121,,Opened,2.562894,
20.9728,Opened,2.536542,,Opened,2.569372,
20.9866,Opened,2.534534,,Opened,2.583475,
21.0005,Opened,2.555306,,Opened,2.579636,
21.0146,Opened,2.538827,,Opened,2.565837,
21.0288,Opened,2.547989,,Opened,2.595239,
21.0429,Opened,2.550926,,Opened,2.58602,
21.0576,Opened,2.560036,,Opened,2.598679,
21.0721,Opened,2.553017,,Opened,2.563058,
21.0863,Opened,2.564693,,Opened,2.592892,
21.1002,Opened,2.564939,,Opened,2.600614,
21.1149,Opened,2.570725,,Opened,2.606386,
21.129,Opened,2.575001,,Opened,2.616287,
21.1435,Opened,2.560011,,Opened,2.60953,
21.1579,Opened,2.592622,,Opened,2.624505,
21.172,Opened,2.575096,,Opened,2.608814,
21.1865,Opened,2.570511,,Opened,2.601875,
21.201,Opened,2.574383,,Opened,2.610813,
21.2157,Opened,2.594472,,Opened,2.620196,
21.2297,Opened,2.587424,,Opened,2.62229,
21.244,Opened,2.586603,,Opened,2.632438,
21.2582,Opened,2.588746,,Opened,2.618668,
21.273,Opened,2.591597,,Opened,2.620842,
21.2876,Opened,2.571481,,Opened,2.589917,
21.3022,Opened,2.587186,,Opened,2.610567,
21.3162,Opened,2.58514,,Opened,2.606762,
21.3306,Opened,2.584763,,Opened,2.631082,
21.345,Opened,2.598079,,Opened,2.629784,
21.3591,Opened,2.590329,,Opened,2.639085,
21.3736,Opened,2.610901,,Opened,2.635788,
21.3877,Opened,2.603516,,Opened,2.639311,
21.4019,Opened,2.610985,,Opened,2.623075,
21.4162,Opened,2.604292,,Opened,2.649797,
21.4304,Opened,2.614852,,Opened,2.651605,
21.4451,Opened,2.601076,,Opened,2.645107,
21.459,Opened,2.612182,,Opened,2.641805,
21.4736,Opened,2.630912,,Opened,2.657256,
21.488,Opened,2.624207,,Opened,2.663258,
21.5024,Opened,2.619043,,Opened,2.666173,
21.5165,Opened,2.631334,,Opened,2.668705,
21.5307,Opened,2.618031,,Opened,2.646813,
21.545,Opened,2.594591,,Opened,2.615964,
21.5597,Opened,2.613668,,Opened,2.626507,
21.5737,Opened,2.618604,,Opened,2.663138,
21.5881,Opened,2.620955,,Opened,2.651273,
21.6025,Opened,2.639879,,Opened,2.684324,
21.617,Opened,2.626531,,Opened,2.648555,
21.6315,Opened,2.624244,,Opened,2.653289,
21.6457,Opened,2.625198,,Opened,2.655973,
21.66,Opened,2.620132,,Opened,2.648112,
21.6744,Opened,2.617907,,Opened,2.64771,
21.6887,Opened,2.626079,,Opened,2.662781,
21.7029,Opened,2.631219,,Opened,2.662299,
21.717,Opened,2.655044,,Opened,2.684573,
21.7311,Opened,2.631682,,Opened,2.668035,
21.7454,Opened,2.648736,,Opened,2.673116,
21.7593,Opened,2.635899,,Opened,2.671457,
21.7736,Opened,2.642554,,Opened,2.662737,
21.7883,Opened,2.635324,,Opened,2.654454,
21.8027,Opened,2.649206,,Opened,2.683703,
21.8169,Opened,2.653718,,Opened,2.696141,
21.8312,Opened,2.621818,,Opened,2.646067,
21.8452,Opened,2.636308,,Opened,2.665456,
21.8593,Opened,2.644854,,Opened,2.675811,
21.8738,Opened,2.641859,,Opened,2.671657,
21.8882,Opened,2.637837,,Opened,2.667078,
21.9023,Opened,2.636682,,Opened,2.653235,
21.9169,Opened,2.616355,,Opened,2.642652,
21.9309,Opened,2.643658,,Opened,2.653743,
21.945,Opened,2.642467,,Opened,2.675505,
21.9599,Opened,2.65803,,Opened,2.683209,
21.9745,Opened,2.642004,,Opened,2.668301,
21.9887,Opened,2.647705,,Opened,2.687989,
22.0034,Opened,2.644811,,Opened,2.668237,
22.0174,Opened,2.651675,,Opened,2.691265,
22.0316,Opened,2.678871,,Opened,2.699485,
22.046,Opened,2.667318,,Opened,2.723719,
22.06,Opened,2.649942,,Opened,2.690629,
22.0742,Opened,2.659669,,Opened,2.697434,
22.0883,Opened,2.646145,,Opened,2.656609,
22.1027,Opened,2.643908,,Opened,2.654607,
22.1171,Opened,2.657457,,Opened,2.68949,
