Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
25.09,Opened,2.745039,,Opened,2.783511,
25.1042,Opened,2.757897,,Opened,2.780408,
25.1184,Opened,2.737394,,Opened,2.754371,
25.1327,Opened,2.759585,,Opened,2.791801,
25.1469,Opened,2.735619,,Opened,2.779092,
25.1614,Opened,2.743182,,Opened,2.771025,
25.1754,Opened,2.734041,,Opened,2.772586,
25.1896,Opened,2.765894,,Opened,2.789221,
25.204,Opened,2.751797,,Opened,2.798482,
25.2183,Opened,2.730216,,Opened,2.744202,
25.2321,Opened,2.752625,,Opened,2.798299,
25.2463,Opened,2.765721,,Opened,2.788924,
25.2605,Opened,2.761647,,Opened,2.810181,
25.2749,Opened,2.745436,,Opened,2.782142,
25.289,Opened,2.766255,,Opened,2.778973,
25.3037,Opened,2.757296,,Opened,2.790994,
25.3178,Opened,2.770482,,Opened,2.79814,
25.3326,Opened,2.75755,,Opened,2.770017,
25.3473,Opened,2.775961,,Opened,2.813198,
25.3616,Opened,2.788191,,Opened,2.816666,
25.376,Opened,2.781322,,Opened,2.810855,
25.3906,Opened,2.765385,,Opened,2.792373,
25.4049,Opened,2.773073,,Opened,2.818537,
25.4194,Opened,2.753388,,Opened,2.785367,
25.4334,Opened,2.775111,,Opened,2.829578,
25.4476,Opened,2.735446,,Opened,2.772743,
25.4621,Opened,2.765531,,Opened,2.794569,
25.4765,Opened,2.782993,,Opened,2.823821,
25.4905,Opened,2.755771,,Opened,2.779437,
25.5051,Opened,2.767728,,Opened,2.790269,
25.5194,Opened,2.763242,,Opened,2.778286,
25.5339,Opened,2.766974,,Opened,2.787285,
25.5484,Opened,2.762945,,Opened,2.802884,
25.5625,Opened,2.765993,,Opened,2.795304,
25.5773,Opened,2.758318,,Opened,2.798545,
25.5918,Opened,2.765629,,Opened,2.793895,
25.6061,Opened,2.754759,,Opened,2.782779,
25.6205,Opened,2.772362,,Opened,2.790372,
25.6348,Opened,2.759349,,Opened,2.816188,
25.6491,Opened,2.771062,,Opened,2.786465,
25.6634,Opened,2.768962,,Opened,2.792859,
25.678,Opened,2.758505,,Opened,2.795405,
25.6923,Opened,2.782472,,Opened,2.823361,
25.7067,Opened,2.764656,,Opened,2.793896,
25.7209,Opened,2.771495,,Opened,2.789601,
25.7354,Opened,2.77064,,Opened,2.79798,
25.7496,Opened,2.801974,,Opened,2.817501,
25.7639,Opened,2.790382,,Opened,2.818262,
25.7781,Opened,2.750232,,Opened,2.772458,
25.7922,Opened,2.757578,,Opened,2.788093,
25.8065,Opened,2.780161,,Opened,2.791867,
25.8211,Opened,2.769954,,Opened,2.80087,
25.8354,Opened,2.772295,,Opened,2.804972,
25.8497,Opened,2.779305,,Opened,2.809963,
25.8637,Opened,2.772841,,Opened,2.781844,
25.8783,Opened,2.766086,,Opened,2.799365,
25.8926,Opened,2.773867,,Opened,2.805504,
25.9067,Opened,2.74281,,Opened,2.773803,
25.9211,Opened,2.760632,,Opened,2.804672,
25.9355,Opened,2.761273,,Opened,2.788435,
25.95,Opened,2.759805,,Opened,2.788298,
25.9646,Opened,2.753995,,Opened,2.796291,
25.9788,Opened,2.7473,,Opened,2.76321,
25.993,Opened,2.786779,,Opened,2.81622,
26.0073,Opened,2.757401,,Opened,2.786152,
26.0217,Opened,2.763345,,Opened,2.802843,
26.0361,Opened,2.784797,,Opened,2.817184,
26.0505,Opened,2.760336,,Opened,2.79345,
26.0645,Opened,2.759898,,Opened,2.79583,
26.0786,Opened,2.756753,,Opened,2.788265,
26.0929,Opened,2.719684,,Opened,2.75501,
26.1074,Opened,2.760312,,Opened,2.803366,
26.1217,Opened,2.752672,,Opened,2.776648,
26.1353,Opened,2.745779,,Opened,2.770775,
26.1496,Opened,2.758349,,Opened,2.803443,
26.1637,Opened,2.776189,,Opened,2.82439,
26.1781,Opened,2.757536,,Opened,2.786134,
26.1923,Opened,2.748571,,Opened,2.767672,
26.2068,Opened,2.734986,,Opened,2.772918,
26.221,Opened,2.740622,,Opened,2.767568,
26.2354,Opened,2.746856,,Opened,2.780178,
26.2497,Opened,2.738197,,Opened,2.764728,
26.2639,Opened,2.752562,,Opened,2.803617,
26.2785,Opened,2.724636,,Opened,2.745249,
26.2928,Opened,2.751282,,Opened,2.769452,
26.3069,Opened,2.740103,,Opened,2.775946,
26.3215,Opened,2.75836,,Opened,2.804655,
26.3356,Opened,2.728209,,Opened,2.751602,
26.3495,Opened,2.756003,,Opened,2.812337,
26.3638,Opened,2.738528,,Opened,2.766886,
26.3781,Opened,2.742224,,Opened,2.777477,
26.3921,Opened,2.730015,,Opened,2.747566,
26.4068,Opened,2.728652,,Opened,2.768264,
26.4212,Opened,2.736888,,Opened,2.758706,
26.4355,Opened,2.72073,,Opened,2.755354,
26.4495,Opened,2.704349,,Opened,2.729431,
26.4638,Opened,2.722033,,Opened,2.763129,
26.4781,Opened,2.704098,,Opened,2.739568,
26.4924,Opened,2.732922,,Opened,2.760289,
26.5068,Opened,2.704899,,Opened,2.734656,
26.5209,Opened,2.714277,,Opened,2.739498,
26.5354,Opened,2.714294,,Opened,2.746038,
26.5495,Opened,2.692582,,Opened,2.718324,
26.5639,Opened,2.688828,,Opened,2.725887,
26.5784,Opened,2.685834,,Opened,2.731501,
26.5925,Opened,2.714769,,Opened,2.746661,
26.6068,Opened,2.683792,,Opened,2.693828,
26.6213,Opened,2.699753,,Opened,2.726398,
26.6355,Opened,2.685983,,Opened,2.722864,
26.6499,Opened,2.691307,,Opened,2.732602,
26.664,Opened,2.713676,,Opened,2.756252,
26.6782,Opened,2.700464,,Opened,2.728601,
26.6927,Opened,2.686845,,Opened,2.731052,
26.7071,Opened,2.685582,,Opened,2.723418,
26.7212,Opened,2.672281,,Opened,2.708166,
26.7355,Opened,2.668269,,Opened,2.699631,
26.7501,Opened,2.686546,,Opened,2.729132,
26.7644,Opened,2.680098,,Opened,2.696369,
26.7787,Opened,2.683808,,Opened,2.712749,
26.7927,Opened,2.679203,,Opened,2.714857,
26.8075,Opened,2.659868,,Opened,2.685006,
26.8216,Opened,2.660136,,Opened,2.684521,
26.8359,Opened,2.631484,,Opened,2.663765,
26.8501,Opened,2.656859,,Opened,2.679876,
26.8646,Opened,2.661863,,Opened,2.701987,
26.8791,Opened,2.660508,,Opened,2.684217,
26.8938,Opened,2.659987,,Opened,2.712069,
26.9081,Opened,2.657298,,Opened,2.692097,
26.9221,Opened,2.635104,,Opened,2.666453,
26.9362,Opened,2.655378,,Opened,2.684643,
26.9503,Opened,2.635283,,Opened,2.666391,
26.9644,Opened,2.654158,,Opened,2.676379,
26.9786,Opened,2.643789,,Opened,2.672395,
26.993,Opened,2.657664,,Opened,2.694513,
27.0076,Opened,2.628877,,Opened,2.654235,
27.0218,Opened,2.63598,,Opened,2.655228,
27.0362,Opened,2.655805,,Opened,2.690181,
27.0503,Opened,2.625654,,Opened,2.658914,
27.0644,Opened,2.62133,,Opened,2.649731,
27.0782,Opened,2.61538,,Opened,2.649812,
27.0925,Opened,2.635078,,Opened,2.660195,
27.1069,Opened,2.616204,,Opened,2.638177,
27.121,Opened,2.636805,,Opened,2.671977,
27.1353,Opened,2.618267,,Opened,2.659171,
27.1497,Opened,2.619161,,Opened,2.656627,
27.164,Opened,2.625134,,Opened,2.651897,
27.1784,Opened,2.591416,,Opened,2.638979,
27.1927,Opened,2.615246,,Opened,2.644318,
27.2073,Opened,2.607975,,Opened,2.651914,
27.2215,Opened,2.610753,,Opened,2.63259,
27.2358,Opened,2.622143,,Opened,2.657633,
27.2498,Opened,2.592921,,Opened,2.618873,
27.2643,Opened,2.585595,,Opened,2.60166,
27.2785,Opened,2.58115,,Opened,2.612137,
