Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
21.62,Opened,2.643274,Data_LowAccuracy,Opened,2.665419,Data_LowAccuracy
21.6343,Opened,2.628252,,Opened,2.661314,
21.6488,Opened,2.674497,,Opened,2.694,
21.6631,Opened,2.649368,,Opened,2.66835,
21.6772,Opened,2.65899,,Opened,2.679863,
21.6913,Opened,2.657083,,Opened,2.667828,
21.7061,Opened,2.658838,,Opened,2.67163,
21.7203,Opened,2.654933,,Opened,2.678221,
21.7345,Opened,2.672189,,Opened,2.690717,
21.7489,Opened,2.650067,,Opened,2.654709,
21.7635,Opened,2.666072,,Opened,2.682515,
21.778,Opened,2.678449,,Opened,2.702327,
21.7924,Opened,2.672642,,Opened,2.698785,
21.8067,Opened,2.651812,,Opened,2.676537,
21.821,Opened,2.668312,,Opened,2.705173,
21.8353,Opened,2.6627,,Opened,2.705034,
21.8497,Opened,2.674373,,Opened,2.696616,
21.864,Opened,2.67025,,Opened,2.713096,
21.8781,Opened,2.68479,,Opened,2.720002,
21.8922,Opened,2.677168,,Opened,2.711467,
21.9066,Opened,2.676456,,Opened,2.683357,
21.9211,Opened,2.668506,,Opened,2.69514,
21.9355,Opened,2.659906,,Opened,2.702297,
21.9499,Opened,2.659489,,Opened,2.695634,
21.964,Opened,2.635419,,Opened,2.67258,
21.9785,Opened,2.663868,,Opened,2.687745,
21.9925,Opened,2.681864,,Opened,2.700307,
22.0071,Opened,2.684546,,Opened,2.707221,
22.0213,Opened,2.682925,,Opened,2.70831,
22.0358,Opened,2.668002,,Opened,2.69704,
22.0501,Opened,2.676456,,Opened,2.710899,
22.0644,Opened,2.657032,,Opened,2.685692,
22.0788,Opened,2.680305,,Opened,2.709428,
22.0932,Opened,2.67659,,Opened,2.709912,
22.1072,Opened,2.693838,,Opened,2.710674,
22.1216,Opened,2.659106,,Opened,2.69253,
22.1361,Opened,2.675342,,Opened,2.68727,
