Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
25.32,Opened,2.762982,,Opened,2.793641,
25.3341,Opened,2.745315,,Opened,2.770216,
25.3488,Opened,2.76929,,Opened,2.806274,
25.363,Opened,2.772947,,Opened,2.788952,
25.3779,Opened,2.760243,,Opened,2.786545,
25.3922,Opened,2.752656,,Opened,2.777211,
25.4062,Opened,2.748449,,Opened,2.770676,
25.4208,Opened,2.746192,,Opened,2.775748,
25.4355,Opened,2.770253,,Opened,2.802617,
25.4497,Opened,2.74561,,Opened,2.769808,
25.4641,Opened,2.757201,,Opened,2.787453,
25.4785,Opened,2.776837,,Opened,2.800623,
25.4931,Opened,2.764788,,Opened,2.780684,
25.5074,Opened,2.778028,,Opened,2.831546,
25.522,Opened,2.751111,,Opened,2.786244,
25.5364,Opened,2.73452,,Opened,2.77217,
25.5503,Opened,2.756314,,Opened,2.795919,
25.5649,Opened,2.782946,,Opened,2.815438,
25.5789,Opened,2.762493,,Opened,2.809978,
25.593,Opened,2.769852,,Opened,2.798857,
25.6074,Opened,2.763258,,Opened,2.784681,
25.622,Opened,2.743977,,Opened,2.775527,
25.6362,Opened,2.766063,,Opened,2.788689,
25.6505,Opened,2.759323,,Opened,2.780987,
25.6647,Opened,2.770385,,Opened,2.789349,
25.6787,Opened,2.774596,,Opened,2.805144,
25.6931,Opened,2.75439,,Opened,2.785581,
25.7073,Opened,2.781718,,Opened,2.813678,
25.7214,Opened,2.763173,,Opened,2.780145,
25.7356,Opened,2.771957,,Opened,2.799645,
25.7496,Opened,2.762781,,Opened,2.791225,
25.7639,Opened,2.753279,,Opened,2.76701,
25.7785,Opened,2.769349,,Opened,2.810903,
25.793,Opened,2.768214,,Opened,2.802293,
25.8074,Opened,2.75333,,Opened,2.77933,
25.8216,Opened,2.766211,,Opened,2.788028,
25.8363,Opened,2.774859,,Opened,2.80852,
25.8508,Opened,2.755284,,Opened,2.778911,
25.8652,Opened,2.757038,,Opened,2.80349,
